# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0      0     47      -     0      0      0      0   7000   1410 
    0     39     48      -     1      0      0      0   7000   1410 
    0     39     48      -     0      0      0      0   7000   1410 
    0     39     48      -     0      0      0      0   7000   1410 
    0     39     48      -     0      0      0      0   7000   1410 
    0     39     48      -     0      0      0      0   7000   1410 
    0     39     48      -     0      0      0      0   7000   1410 
    0     39     48      -     0      0      0      0   7000   1410 
    0     39     48      -     0      0      0      0   7000   1410 
    0     39     48      -     0      0      0      0   7000   1410 
    0     39     48      -     0      0      0      0   7000   1410 
    0     19     47      -     0      0      0      0    405    405 
    0     19     47      -     0      0      0      0    405    300 
    0     39     48      -     1      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     1      0      0      0   6801   1410 
    0     39     48      -     1      0      0      0   6801   1410 
    0     39     48      -     7      1      0      0   6801   1410 
    0     39     48      -     9      3      0      0   6801   1605 
    0     39     48      -     0      0      0      0   6801   1605 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     19     47      -     0      0      0      0    405    405 
    0     39     48      -     0      0      0      0   6801   1410 
    0     39     48      -     1      0      0      0   6801   1410 
    0     39     48      -     0      0      0      0   6801   1410 
    0     41     48      -     1      0      0      0   6801   1455 
    0    102     50      -    42      1      0      0   6801   1860 
    0    121     52      -    52      2      0      0   6801   1860 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    121     52      -    62      3      0      0   6801   1845 
    0     69     50      -    78      4      0      0   6801   1845 
    0    121     52      -    78      4      0      0   6801   1845 
    0    121     53      -    57      3      0      0   6801   1845 
    0     69     51      -    76      4      0      0   6801   1845 
    0    121     53      -    78      4      0      0   6801   1845 
    0    121     53      -    65      3      0      0   6801   1845 
    0    143     55      -    54      3      0      0   6801   1845 
    0    143     55      -    88     38      0      0   6801   1845 
    0     69     51      -    86     24      0      0   6801   1845 
    0     69     51      -     0      0      0      0   6801   1845 
    0     40     50      -     0      0      0      0   6801   1410 
    0     40     50      -     0      0      0      0   6801   1410 
    0     40     49      -     0      0      0      0   6801   1410 
    0    139     54      -     6      2      0      0   6801   1845 
    0    140     56      -    99     27      0      0   6801   1845 
    0    159     56      -    98     27      0      0   6801   1845 
    0    141     55      -    98     27      0      0   6801   1845 
    0    140     56      -    98     28      0      0   6801   1845 
    0    159     57      -    97     27      0      0   6801   1845 
    0    142     57      -    99     27      0      0   6801   1845 
    0    139     56      -    97     26      0      0   6801   1845 
    0    158     56      -    98     26      0      0   6801   1845 
    0    138     56      -    98     25      0      0   6801   1845 
    0    124     57      -    98     17      0      0   6801   1845 
    0    119     56      -    97      7      0      0   6801   1845 
    0     69     53      -    72      0      0      0   6801   1845 
    0     69     52      -     0      0      0      0   6801   1410 
    0     40     51      -     0      0      0      0   6801   1410 
    0     40     51      -     0      0      0      0   6801   1410 
    0     40     51      -     0      0      0      0   6801   1410 
    0     40     51      -     0      0      0      0   6801   1410 
    0     40     51      -     0      0      0      0   6801   1410 
    0     40     51      -     0      0      0      0   6801   1410 
    0     40     51      -     0      0      0      0   6801   1410 
    0     40     50      -     0      0      0      0   6801   1410 
    0     40     50      -     0      0      0      0   6801   1410 
    0     40     50      -     0      0      0      0   6801   1410 
    0     40     50      -     0      0      0      0   6801   1410 
    0     40     50      -     0      0      0      0   6801   1410 
    0     40     50      -     0      0      0      0   6801   1410 
    0     40     50      -     0      0      0      0   6801   1410 
    0     38     49      -     0      0      0      0    405    435 
    0     19     48      -     0      0      0      0    405    405 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0     19     48      -     0      0      0      0    405    300 
    0     19     48      -     0      0      0      0    405    300 
    0     19     48      -     0      0      0      0    405    300 
    0     19     48      -     0      0      0      0    405    300 
    0     19     47      -     0      0      0      0    405    300 
    0     19     47      -     0      0      0      0    405    300 
    0     19     47      -     0      0      0      0    405    300 
    0     19     47      -     0      0      0      0    405    300 
    0     19     47      -     0      0      0      0    405    300 
    0     19     47      -     0      0      0      0    405    300 
    0     19     47      -     0      0      0      0    405    300 
    0     19     46      -     0      0      0      0    405    300 
    0     19     46      -     0      0      0      0    405    300 
