# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0      0     45      -     0      0      0      0   7000   1410 
    0     48     46      -     1      0      0      0   7000   1410 
    0     48     46      -     0      0      0      0   7000   1410 
    0     48     46      -     0      0      0      0   7000   1410 
    0     48     46      -     0      0      0      0   7000   1410 
    0     48     46      -     0      0      0      0   7000   1410 
    0     48     46      -     0      0      0      0   7000   1410 
    0     48     46      -     0      0      0      0   7000   1410 
    0     48     46      -     0      0      0      0   7000   1410 
    0     48     46      -     0      0      0      0   7000   1410 
    0     48     46      -     0      0      0      0   7000   1410 
    0     25     45      -     0      0      0      0    405    405 
    0     25     45      -     0      0      0      0    405    300 
    0     25     45      -     0      0      0      0    405    300 
    0     24     45      -     0      0      0      0    405    300 
    0     25     45      -     0      0      0      0    405    300 
    0     25     45      -     0      0      0      0    405    300 
    0     25     45      -     0      0      0      0    405    300 
    0     25     45      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     24     44      -     0      0      0      0    405    300 
    0     24     44      -     0      0      0      0    405    300 
    0     24     44      -     0      0      0      0    405    300 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     1      0      0      0   6801   1410 
    0     48     45      -     2      0      0      0   6801   1410 
    0     48     45      -     1      0      0      0   6801   1410 
    0     48     45      -     5      1      0      0   6801   1410 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0     48     45      -     9      3      0      0   6801   1605 
    0     48     46      -     0      0      0      0   6801   1605 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     48     45      -     0      0      0      0   6801   1410 
    0     62     46      -     1      0      0      0   6801   1410 
    0     80     48      -    22      1      0      0   6801   1860 
    0    113     49      -    55      2      0      0   6801   1860 
    0    114     50      -    68      3      0      0   6801   1860 
    0     80     48      -    56      3      0      0   6801   1860 
    0     82     50      -    76      4      0      0   6801   1860 
    0    114     50      -    78      4      0      0   6801   1860 
    0     64     49      -    64      3      0      0   6801   1860 
    0     98     50      -    69      3      0      0   6801   1860 
    0    115     51      -    77      4      0      0   6801   1860 
    0    133     51      -    71      4      0      0   6801   1860 
    0     83     52      -    34     15      0      0   6801   1860 
    0     64     50      -    92     38      0      0   6801   1860 
    0     64     49      -    50      9      0      0   6801   1860 
    0     48     48      -     0      0      0      0   6801   1410 
    0     48     47      -     0      0      0      0   6801   1410 
    0     48     47      -     0      0      0      0   6801   1410 
    0    100     49      -     0      0      0      0   6801   1410 
    0    135     53      -    43     12      0      0   6801   1860 
    0    134     54      -    98     28      0      0   6801   1860 
    0    153     54      -    98     27      0      0   6801   1860 
    0    135     54      -    98     29      0      0   6801   1860 
    0    136     55      -    98     28      0      0   6801   1860 
    0    135     55      -    98     27      0      0   6801   1860 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    133     55      -    98     28      0      0   6801   1860 
    0    153     55      -    99     25      0      0   6801   1860 
    0    137     55      -    98     26      0      0   6801   1860 
    0    131     55      -    98     27      0      0   6801   1845 
    0    113     54      -    97      9      0      0   6801   1845 
    0     64     51      -    97      4      0      0   6801   1845 
    0     64     51      -    25      0      0      0   6801   1845 
    0     48     50      -     0      0      0      0   6801   1410 
    0     48     50      -     0      0      0      0   6801   1410 
    0     48     50      -     0      0      0      0   6801   1410 
    0     48     49      -     0      0      0      0   6801   1410 
    0     48     49      -     0      0      0      0   6801   1410 
    0     48     49      -     0      0      0      0   6801   1410 
    0     48     49      -     0      0      0      0   6801   1410 
    0     48     49      -     0      0      0      0   6801   1410 
    0     48     49      -     0      0      0      0   6801   1410 
    0     48     49      -     0      0      0      0   6801   1410 
    0     48     49      -     0      0      0      0   6801   1410 
    0     48     49      -     0      0      0      0   6801   1410 
    0     48     49      -     0      0      0      0   6801   1410 
    0     48     48      -     0      0      0      0   6801   1410 
    0     25     47      -     0      0      0      0    405    405 
    0     25     47      -     0      0      0      0    405    300 
    0     25     47      -     0      0      0      0    405    300 
    0     25     47      -     0      0      0      0    405    300 
    0     25     46      -     0      0      0      0    405    300 
    0     25     46      -     0      0      0      0    405    300 
    0     25     46      -     0      0      0      0    405    300 
    0     25     46      -     0      0      0      0    405    300 
    0     25     46      -     0      0      0      0    405    300 
    0     25     46      -     0      0      0      0    405    300 
    0     25     46      -     0      0      0      0    405    300 
    0     25     46      -     0      0      0      0    405    300 
    0     25     46      -     0      0      0      0    405    300 
    0     25     45      -     0      0      0      0    405    300 
    0     25     45      -     0      0      0      0    405    300 
    0     25     45      -     0      0      0      0    405    300 
    0     25     45      -     0      0      0      0    405    300 
    0     25     45      -     0      0      0      0    405    300 
    0     25     45      -     0      0      0      0    405    300 
    0     24     45      -     0      0      0      0    405    300 
    0     25     45      -     0      0      0      0    405    300 
    0     25     45      -     0      0      0      0    405    300 
    0     25     45      -     0      0      0      0    405    300 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0     25     45      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     44      -     0      0      0      0    405    300 
    0     25     43      -     0      0      0      0    405    300 
    0     25     43      -     0      0      0      0    405    300 
    0     25     43      -     0      0      0      0    405    300 
    0     25     43      -     0      0      0      0    405    300 
    0     25     43      -     0      0      0      0    405    300 
    0     25     43      -     0      0      0      0    405    300 
    0     25     43      -     0      0      0      0    405    300 
    0     25     43      -     0      0      0      0    405    300 
    0     24     43      -     0      0      0      0    405    300 
    0     24     43      -     0      0      0      0    405    300 
    0     24     43      -     0      0      0      0    405    300 
    0     24     43      -     0      0      0      0    405    300 
    0     24     43      -     0      0      0      0    405    300 
    0     25     43      -     0      0      0      0    405    300 
    0     24     42      -     0      0      0      0    405    300 
    0     25     42      -     0      0      0      0    405    300 
    0     25     42      -     0      0      0      0    405    300 
    0     25     42      -     0      0      0      0    405    300 
    0     24     42      -     0      0      0      0    405    300 
    0     25     42      -     0      0      0      0    405    300 
    0     25     42      -     0      0      0      0    405    300 
    0     25     42      -     0      0      0      0    405    300 
    0     25     42      -     0      0      0      0    405    300 
    0     25     42      -     0      0      0      0    405    300 
    0     24     42      -     0      0      0      0    405    300 
    0     24     41      -     0      0      0      0    405    300 
    0     25     42      -     0      0      0      0    405    300 
    0     25     41      -     0      0      0      0    405    300 
    0     25     42      -     0      0      0      0    405    300 
    0     25     41      -     0      0      0      0    405    300 
    0     25     41      -     0      0      0      0    405    300 
    0     24     41      -     0      0      0      0    405    300 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0     24     41      -     0      0      0      0    405    300 
    0     25     41      -     0      0      0      0    405    300 
    0     24     41      -     0      0      0      0    405    300 
    0     24     41      -     0      0      0      0    405    300 
    0     24     41      -     0      0      0      0    405    300 
    0     24     41      -     0      0      0      0    405    300 
    0     24     41      -     0      0      0      0    405    300 
    0     24     41      -     0      0      0      0    405    300 
    0     24     41      -     0      0      0      0    405    300 
    0     24     41      -     0      0      0      0    405    300 
    0     24     41      -     0      0      0      0    405    300 
    0     24     41      -     0      0      0      0    405    300 
    0     24     40      -     0      0      0      0    405    300 
    0     25     41      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     24     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     40      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     24     39      -     0      0      0      0    405    300 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     24     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     24     39      -     0      0      0      0    405    300 
    0     24     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     39      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     24     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     24     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     24     38      -     0      0      0      0    405    300 
    0     24     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
    0     25     38      -     0      0      0      0    405    300 
